Model Name,Simulation File Name,Legacy Simulation File Name,Simulation Fidelity,Simulation Method,Simulation Condition,Results Type,Results File Type,Simulation Creator,Notes
0084_H_PULM_H,0084_H_PULM_H_3D_RIGID_VTP.zip,0086_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Beverly Tang,-
0084_H_PULM_H,0084_H_PULM_H_3D_RIGID_VTU.zip,0086_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Beverly Tang,-
0085_H_PULM_PAH,0085_H_PULM_PAH_3D_RIGID_VTP.zip,0087_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Beverly Tang,-
0085_H_PULM_PAH,0085_H_PULM_PAH_3D_RIGID_VTU.zip,0087_1001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Beverly Tang,-
0086_H_PULM_PAH,0086_H_PULM_PAH_3D_RIGID_VTP.zip,0088_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Beverly Tang,-
0086_H_PULM_PAH,0086_H_PULM_PAH_3D_RIGID_VTU.zip,0088_1001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Beverly Tang,-
0087_H_PULM_PAH,0087_H_PULM_PAH_3D_RIGID_VTP.zip,0089_1001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),Beverly Tang,-
0087_H_PULM_PAH,0087_H_PULM_PAH_3D_RIGID_VTU.zip,0089_1001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),Beverly Tang,-
0007_H_AO_H,0007_H_AO_H_3D_RIGID_VTP.zip,0090_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0007_H_AO_H,0007_H_AO_H_3D_RIGID_VTU.zip,0090_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0008_H_AO_H,0008_H_AO_H_3D_RIGID_VTP.zip,0091_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
0008_H_AO_H,0008_H_AO_H_3D_RIGID_VTU.zip,0091_0001_vtu.zip,3D,Rigid Wall,-,Time-Resolved,Volume (vtu),John F. LaDisa,-
0009_H_AO_H,0009_H_AO_H_3D_RIGID_VTP.zip,0092_0001_vtp.zip,3D,Rigid Wall,-,Time-Resolved,Surface (vtp),John F. LaDisa,-
